task,category,difficulty,duration_estimate,instructions,reasoning,tags
Complete a reading comprehension exercise,study,medium,30,1. Read the assigned passage carefully. 2. Highlight key ideas. 3. Answer the questions without rushing. 4. Check answers and note mistakes.,"This task combines reading, analysis, and self-checking, which is typical of effective study practice.","study,reading,comprehension,practice,learning"
Organize a to-do list by priority,personal,easy,10,1. Write down all pending tasks. 2. Mark urgent and important items. 3. Group similar tasks together. 4. Rewrite the list in priority order.,Prioritizing tasks is a quick metacognitive activity that improves clarity and execution.,"personal,planning,prioritization,productivity,to-do-list"
Do a mobility routine,fitness,medium,25,"1. Warm up gently. 2. Perform neck, shoulder, hip, and ankle mobility movements. 3. Hold each movement with control. 4. Finish with light stretching.","Mobility work requires attention to movement quality and consistency, but the routine is still time-limited.","fitness,mobility,stretching,recovery,health"
Update LinkedIn profile summary,personal,medium,40,1. Identify your current role and strengths. 2. Write a concise summary of your experience. 3. Add relevant keywords and achievements. 4. Edit for tone and clarity.,"Profile optimization requires self-presentation and careful writing, making it a moderate personal development task.","personal,career,writing,profile,branding"
Prepare meeting agenda,work,easy,20,1. Define the meeting objective. 2. List agenda topics in order. 3. Assign time estimates to each topic. 4. Share the agenda with attendees.,An agenda is a lightweight planning artifact that improves meeting structure and efficiency.,"work,meeting,agenda,planning,communication"
Practice a coding challenge,study,hard,75,"1. Read the problem carefully. 2. Identify inputs, outputs, and constraints. 3. Draft an approach before coding. 4. Implement and test the solution. 5. Refactor if needed.","Coding practice demands problem solving, persistence, and debugging, which makes it a harder learning task.","study,coding,problem-solving,practice,programming"
Water houseplants,home,easy,15,1. Check which plants need water. 2. Fill a watering can. 3. Water each plant appropriately. 4. Empty any excess water from saucers.,Plant care is a simple recurring home maintenance task with a small time investment.,"home,plants,maintenance,routine,care"
Write a thank-you note,personal,easy,15,1. Identify the person and reason for gratitude. 2. Write a sincere message. 3. Keep it brief and specific. 4. Send or deliver the note.,This is a short interpersonal task that supports relationships and can be completed quickly.,"personal,writing,gratitude,communication,relationships"
Analyze a sales report,work,hard,80,1. Review the report structure and key metrics. 2. Compare performance across time periods or segments. 3. Identify trends and anomalies. 4. Summarize insights and recommendations.,"Data analysis requires interpretation, comparison, and synthesis, which makes it a more difficult work task.","work,analysis,sales,reporting,data"
Review class notes,study,easy,20,1. Read through recent notes. 2. Highlight main ideas and definitions. 3. Add missing details from memory or the textbook. 4. Mark topics to revisit later.,Reviewing notes is a low-barrier study task that reinforces learning through repetition and organization.,"study,notes,review,learning,exam-prep"
Do a home inventory audit,home,medium,45,"1. Choose one area of the home. 2. List major items and quantities. 3. Note anything missing, damaged, or expiring. 4. Update the inventory list or spreadsheet.","Inventory work involves systematic checking and record-keeping, which is moderately demanding but very useful.","home,inventory,organization,planning,records"
Prepare a grocery list from recipes,home,medium,25,1. Pick the recipes you plan to cook. 2. Identify all ingredients needed. 3. Combine duplicate items. 4. Add pantry staples and quantities. 5. Organize the final list by store section.,"This task requires extraction and consolidation of information, a practical planning activity with moderate complexity.","home,grocery,meal-planning,organization,shopping"
Do interval training,fitness,hard,35,1. Warm up for 5 minutes. 2. Alternate high-intensity effort and recovery periods. 3. Repeat for the planned duration. 4. Cool down and stretch afterward.,"Interval training is physically demanding and requires self-regulation, making it a hard fitness task.","fitness,HIIT,cardio,training,health"
Organize bookmarks or saved articles,personal,easy,20,1. Review saved links or bookmarks. 2. Delete outdated or irrelevant items. 3. Create folders or tags for main topics. 4. Move useful items into the proper categories.,This is a lightweight digital cleanup task that improves information access and reduces clutter.,"personal,digital-organization,bookmarks,cleanup,productivity"
Proofread a document,work,medium,30,"1. Read the document slowly from start to finish. 2. Check spelling, grammar, and formatting. 3. Verify names, dates, and links. 4. Make edits and review again.","Proofreading is detail-oriented and requires sustained attention, but it is bounded and systematic.","work,editing,proofreading,writing,quality"
Memorize a short speech,study,hard,60,1. Break the speech into small sections. 2. Read each section aloud several times. 3. Recite from memory and check accuracy. 4. Repeat until the full speech flows naturally.,"Memorization requires repeated practice, recall, and refinement, which increases difficulty.","study,memorization,speaking,practice,performance"
Set up a morning routine checklist,personal,easy,20,1. List your ideal morning steps. 2. Put them in a logical order. 3. Estimate how long each step takes. 4. Turn the list into a simple checklist.,Creating a routine checklist is a quick planning task that supports habit formation and consistency.,"personal,routine,planning,habits,checklist"
Clean out the car,home,medium,45,1. Remove trash and unnecessary items. 2. Organize essentials like documents or charging cables. 3. Vacuum seats and floors if needed. 4. Wipe interior surfaces.,"Car cleaning combines sorting, cleaning, and organizing, making it a moderate home maintenance task.","home,cleaning,car,organization,maintenance"
Prepare a client follow-up call script,work,medium,30,1. Define the call purpose. 2. List key points and questions. 3. Prepare responses to likely objections. 4. End with a clear next step. 5. Review the script out loud.,Script preparation supports effective communication and requires anticipating conversation flow.,"work,script,communication,sales,planning"
Complete a practice quiz,study,easy,20,1. Take the quiz without notes. 2. Review your answers. 3. Identify missed concepts. 4. Revisit those topics briefly.,Practice quizzes are a concise self-assessment tool that helps reinforce knowledge and reveal gaps.,"study,quiz,self-assessment,review,learning"
Declutter one closet shelf,home,medium,40,"1. Empty the shelf. 2. Sort items into keep, donate, and discard piles. 3. Clean the shelf surface. 4. Put back only the items you use regularly.","This task involves decision-making, sorting, and physical organization, which makes it moderately challenging.","home,declutter,closet,organization,cleanup"
Write a short story outline,creative,medium,35,"1. Choose a premise or central idea. 2. Define the main character and goal. 3. Sketch the beginning, conflict, and resolution. 4. Note any key scenes or twists.","Creative outlining requires imagination plus structure, making it a moderate creative planning task.","creative,writing,outline,storytelling,planning"
Brainstorm social media post ideas,creative,easy,20,1. Pick a theme or campaign goal. 2. List as many post ideas as possible. 3. Group similar ideas together. 4. Select the best concepts to develop further.,Brainstorming is a low-pressure creative task that generates options quickly and supports later execution.,"creative,brainstorming,content,marketing,ideas"
Edit photos for a portfolio,creative,hard,90,"1. Select the best images. 2. Adjust exposure, color, and cropping. 3. Remove distractions or imperfections if needed. 4. Export final versions in the correct format.","Photo editing for a portfolio requires technical skill, judgment, and multiple iterations, making it hard.","creative,photo-editing,portfolio,design,visual"
Plan a weekend itinerary,personal,medium,40,1. Decide the main goals for the weekend. 2. List activities and locations. 3. Estimate travel and timing. 4. Add backup options if weather or plans change. 5. Share the plan with others if needed.,"Itinerary planning requires coordination, sequencing, and contingency thinking, which makes it moderately complex.","personal,planning,itinerary,scheduling,weekend"
Create a focus playlist,personal,easy,15,1. Choose the type of task or mood. 2. Select songs that support focus. 3. Arrange them in a smooth order. 4. Test the playlist and refine it.,This is a small motivational setup task that can improve concentration with minimal effort.,"personal,music,focus,setup,productivity"
Do a full-body stretching session,fitness,easy,20,1. Start with gentle movement. 2. Stretch major muscle groups one by one. 3. Hold each stretch without bouncing. 4. Breathe steadily throughout.,"Stretching is accessible, low-impact, and useful for recovery, making it an easy fitness task.","fitness,stretching,recovery,flexibility,wellness"
Prepare an expense tracker,personal,medium,45,"1. Choose a spreadsheet or app. 2. Set up categories for spending. 3. Add columns for date, amount, and notes. 4. Enter recent expenses. 5. Review the setup for usability.","Setting up an expense tracker requires organization and basic data structure design, which is moderately demanding.","personal,finance,tracking,spreadsheet,budget"
Compile meeting notes into action items,work,medium,30,1. Read through the meeting notes. 2. Highlight decisions and commitments. 3. Convert them into clear action items. 4. Assign owners and deadlines where appropriate.,"This task transforms raw notes into actionable follow-up, which is a useful work productivity process.","work,notes,action-items,meeting,follow-up"
Prepare for an exam review session,study,hard,90,1. Gather all relevant materials. 2. Identify weak topics from past work. 3. Create a review plan by topic. 4. Practice recall and solve sample questions. 5. Summarize remaining questions for later review.,"Exam prep combines planning, synthesis, and intensive practice, which makes it a high-effort study task.","study,exam-prep,review,planning,practice"
Organize a bookshelf by topic,home,easy,25,"1. Remove books from the shelf. 2. Sort them by genre, subject, or priority. 3. Dust the shelf. 4. Place books back in a clear order.",Shelf organization is a simple sorting and cleaning task that is easy to complete in one sitting.,"home,organization,bookshelf,sorting,cleanup"
Write a cover letter draft,work,medium,50,"1. Research the role and company. 2. Identify your most relevant skills and experiences. 3. Write an introduction, body, and closing. 4. Tailor the draft to the job. 5. Revise for clarity and tone.",Cover letter writing is a focused professional writing task that requires customization and self-presentation.,"work,writing,job-search,cover-letter,career"
Plan a creative project mood board,creative,medium,45,"1. Define the project theme. 2. Gather images, colors, and references. 3. Arrange them into a visual board. 4. Add notes about style and direction.","Mood boarding blends inspiration gathering with visual organization, a useful creative planning step.","creative,mood-board,design,inspiration,planning"
Do a screen-free evening reset,personal,easy,30,"1. Put devices away. 2. Tidy the main living space. 3. Prepare items for tomorrow. 4. Read, stretch, or relax quietly for the rest of the time.",This is a restorative routine task that combines light organization with intentional downtime.,"personal,routine,reset,wellbeing,screen-free"
