id,task,category,difficulty,duration_estimate,framework_id,framework_name,reasoning,instructions,tags
1,Write a 2-page project summary,work,medium,45,4,Time Blocking,"Time Blocking helps allocate a clear writing window.","Block 45 minutes, outline key points, write summary, revise.","work;writing;planning"
30,Read 15 pages of a book,personal,easy,20,26,Daily Highlight,"Making reading the highlight increases consistency.","Set timer, read actively, summarize key ideas.","personal;reading"
31,Organize cables behind desk,home,easy,20,3,GTD,"GTD helps clarify and categorize clutter.","Unplug cables, label them, tie and route neatly.","home;organization"
32,Write cover letter draft,career,medium,45,7,SMART Goals,"SMART structure improves clarity and impact.","Write intro, highlight achievements, tailor message.","career;writing"
33,Practice piano scales,personal,medium,30,25,Focus Blocks,"Longer focus periods improve musical accuracy.","Warm up, practice scales slowly, increase tempo.","personal;music"
34,Clean fridge shelves,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Remove items, wipe shelves, reorganize sections.","home;cleaning"
35,Review financial budget,finance,medium,30,22,Time Audit,"Auditing time helps align budgeting habits.","Check expenses, compare categories, adjust limits.","finance;planning"
36,Prepare smoothie bowl,home,easy,15,34,Habit Stacking,"Stacking breakfast prep onto morning routine.","Blend fruit, add toppings, store in fridge.","home;cooking"
37,Practice drawing shading techniques,creative,medium,30,42,Micro-Goals,"Small shading drills improve technique.","Practice gradients, cross-hatching, soft shading.","creative;art"
38,Write sprint retrospective notes,work,medium,30,20,Weekly Review,"Weekly review supports sprint reflection.","List wins, challenges, improvements.","work;planning"
39,Clean oven interior,home,medium,40,38,Task Decomposition,"Breaking oven cleaning into steps reduces overwhelm.","Apply cleaner, scrub racks, wipe interior.","home;cleaning"
40,Practice yoga breathing,fitness,easy,15,46,Daily Rituals,"Daily breathing rituals improve calm and focus.","Inhale 4s, hold 2s, exhale 6s, repeat.","fitness;breathing"
41,Organize bookshelf by category,home,easy,25,11,Kanban,"Kanban visualizes progress shelf-by-shelf.","Sort books, categorize, arrange neatly.","home;organization"
42,Write API documentation,work,medium,60,39,Backwards Planning,"Start from final API usage and work backward.","Document endpoints, examples, error codes.","work;documentation"
43,Practice language listening exercises,study,medium,30,8,Spaced Repetition,"Listening practice benefits from spaced intervals.","Listen to audio, repeat phrases, note new words.","study;language"
44,Prepare dinner (simple recipe),home,medium,45,4,Time Blocking,"Cooking fits well into structured time blocks.","Chop ingredients, cook protein, plate meal.","home;cooking"
45,Clean windows in living room,home,medium,35,23,Task Batching,"Batching window cleaning improves efficiency.","Spray cleaner, wipe glass, dry edges.","home;cleaning"
46,Write daily gratitude list,personal,easy,10,58,Task Journaling,"Journaling gratitude improves mood and clarity.","Write 3 things you're grateful for.","personal;reflection"
47,Practice strength training routine,fitness,hard,45,17,Energy-Based Scheduling,"Strength training requires high-energy periods.","Warm up, perform sets, track reps.","fitness;strength"
48,Review calendar events,planning,easy,10,20,Weekly Review,"Weekly review clarifies upcoming commitments.","Check events, adjust priorities, add notes.","planning;organization"
49,Practice photography composition,creative,medium,40,29,Mind Mapping,"Mapping visual ideas improves composition.","Practice rule of thirds, leading lines.","creative;photography"
50,Organize kitchen cabinets,home,medium,45,38,Task Decomposition,"Breaking cabinets into sections reduces overwhelm.","Empty cabinet, clean shelves, categorize items.","home;organization"
51,Write weekly study goals,study,medium,25,7,SMART Goals,"SMART structure improves clarity and direction.","Define specific goals, set deadlines, list resources.","study;planning"
52,Clean shower walls,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Spray cleaner, scrub tiles, rinse thoroughly.","home;cleaning"
53,Practice HIIT workout,fitness,hard,25,17,Energy-Based Scheduling,"HIIT requires high-energy periods.","Warm up, perform intervals, cool down.","fitness;hiit"
54,Organize email inbox,work,medium,35,3,GTD,"GTD helps categorize and clarify digital clutter.","Sort emails, archive old ones, flag important items.","work;organization"
55,Write 3 creative ideas,creative,easy,15,42,Micro-Goals,"Small creative goals increase output.","Brainstorm ideas, write short descriptions.","creative;ideation"
56,Prepare weekly grocery list,home,easy,20,45,Time Horizons,"Planning across horizons improves consistency.","Check pantry, list items, categorize by store section.","home;planning"
57,Practice mindfulness meditation,personal,easy,10,34,Habit Stacking,"Stacking meditation onto a daily habit increases consistency.","Sit comfortably, breathe deeply, observe thoughts.","personal;meditation"
58,Review coding notes,study,easy,20,8,Spaced Repetition,"Reviewing notes at intervals improves retention.","Read notes, highlight key concepts, summarize.","study;coding"
59,Clean kitchen sink,home,easy,10,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Scrub sink, rinse, wipe dry.","home;cleaning"
60,Write product feature ideas,work,medium,30,29,Mind Mapping,"Mind Mapping helps visualize feature relationships.","Create central node, branch features, add notes.","work
61,Practice stretching routine,fitness,easy,15,46,Daily Rituals,"Daily stretching improves mobility.","Stretch hamstrings, quads, shoulders, hold each 20s.","fitness;stretching"
62,Organize desktop files,home,easy,20,3,GTD,"GTD helps categorize digital clutter.","Sort files, create folders, delete duplicates.","home;digital"
63,Write daily task list,planning,easy,10,26,Daily Highlight,"Highlighting one key task improves focus.","List tasks, choose highlight, schedule time.","planning;organization"
64,Practice drawing perspective,creative,medium,30,42,Micro-Goals,"Small drills improve perspective accuracy.","Draw horizon line, vanishing points, simple shapes.","creative;art"
65,Prepare lunch meal,home,medium,30,4,Time Blocking,"Cooking fits well into structured time blocks.","Chop ingredients, cook protein, assemble meal.","home;cooking"
66,Review monthly goals,personal,medium,25,20,Weekly Review,"Weekly review supports monthly alignment.","Check progress, adjust goals, add notes.","personal;planning"
67,Practice balance exercises,fitness,medium,20,17,Energy-Based Scheduling,"Balance training requires moderate energy.","Stand on one leg, shift weight, repeat.","fitness;balance"
68,Write summary of article,study,medium,25,40,Daily Scorecard,"Scoring summaries improves learning quality.","Read article, write key points, add reflection.","study;writing"
69,Clean bedroom floor,home,easy,15,23,Task Batching,"Batching cleaning tasks increases efficiency.","Vacuum floor, wipe corners, tidy items.","home;cleaning"
70,Practice singing warm-ups,personal,easy,20,25,Focus Blocks,"Focused practice improves vocal control.","Hum scales, practice breathing, sing simple notes.","personal;music"
71,Organize wardrobe hangers,home,easy,20,38,Task Decomposition,"Breaking wardrobe tasks into sections reduces overwhelm.","Sort clothes, replace hangers, arrange by type.","home;organization"
72,Write brainstorming notes,creative,easy,15,29,Mind Mapping,"Mind Mapping helps visualize idea clusters.","Create central idea, branch subtopics.","creative;ideation"
73,Prepare dinner ingredients,home,medium,25,37,Time Anchoring,"Anchoring prep to evening improves consistency.","Chop vegetables, marinate protein, store.","home;cooking"
74,Review project timeline,work,medium,30,39,Backwards Planning,"Working backward clarifies timeline dependencies.","List milestones, adjust deadlines, update tasks.","work;planning"
75,Practice core workout,fitness,medium,20,46,Daily Rituals,"Daily core routines improve strength.","Perform planks, crunches, leg raises.","fitness;core"
76,Review lecture slides,study,easy,20,8,Spaced Repetition,"Slides reviewed at intervals improve retention.","Read slides, highlight key points, write 3-sentence summary.","study;review"
77,Clean dining table,home,easy,10,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Wipe surface, clean edges, dry with cloth.","home;cleaning"
78,Practice jump rope routine,fitness,medium,15,17,Energy-Based Scheduling,"Jump rope requires moderate energy.","Warm up, jump 1-minute intervals, rest between sets.","fitness;cardio"
79,Write weekly content ideas,creative,medium,30,29,Mind Mapping,"Mind Mapping helps generate structured content ideas.","Create central theme, branch 5 ideas, add notes.","creative;content"
80,Organize bathroom cabinet,home,medium,30,38,Task Decomposition,"Breaking cabinet into sections reduces overwhelm.","Empty shelf, clean, categorize items, restock.","home;organization"
81,Prepare fruit snack boxes,home,easy,15,34,Habit Stacking,"Stacking snack prep onto kitchen routine increases consistency.","Cut fruit, portion into containers, refrigerate.","home;mealprep"
82,Review team tasks,work,medium,25,11,Kanban,"Kanban visualizes task progress.","Check board, update statuses, assign next steps.","work;planning"
83,Practice squat technique,fitness,medium,20,46,Daily Rituals,"Daily squat practice improves form.","Warm up, perform slow squats, focus on depth.","fitness;strength"
84,Write short poem,creative,easy,15,42,Micro-Goals,"Small creative goals improve output.","Choose theme, write 4 lines, refine wording.","creative;writing"
85,Clean hallway floor,home,easy,15,23,Task Batching,"Batching cleaning tasks increases efficiency.","Sweep floor, mop surface, dry area.","home;cleaning"
86,Review monthly finances,finance,medium,30,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check expenses, compare categories, adjust budget.","finance;planning"
87,Practice typing speed,personal,medium,20,25,Focus Blocks,"Focused practice improves typing accuracy.","Use typing test, repeat drills, track progress.","personal;skills"
88,Prepare breakfast omelette,home,easy,15,4,Time Blocking,"Cooking fits well into structured time blocks.","Beat eggs, cook vegetables, fold omelette.","home;cooking"
89,Write daily affirmation list,personal,easy,10,58,Task Journaling,"Journaling affirmations improves mindset.","Write 5 affirmations, read aloud.","personal;reflection"
90,Practice plank variations,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Hold plank, side plank, knee-to-elbow plank.","fitness;core"
91,Organize study desk,study,easy,15,3,GTD,"GTD helps categorize and clarify clutter.","Clear desk, sort items, place essentials only.","study;organization"
92,Write product feedback notes,work,medium,25,39,Backwards Planning,"Start from desired product outcome and work backward.","List issues, propose improvements, prioritize.","work;analysis"
93,Practice watercolor blending,creative,medium,30,42,Micro-Goals,"Small drills improve blending technique.","Blend two colors, practice gradients, refine edges.","creative;art"
94,Clean kitchen floor,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Sweep floor, mop, dry thoroughly.","home;cleaning"
95,Review exam flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;memory"
96,Prepare vegetable stir-fry,home,medium,25,37,Time Anchoring,"Anchoring cooking to evening improves consistency.","Chop vegetables, stir-fry, season lightly.","home;cooking"
97,Practice balance yoga poses,fitness,medium,25,46,Daily Rituals,"Daily balance practice improves stability.","Perform tree pose, warrior III, hold each 30s.","fitness;yoga"
98,Write weekly gratitude reflection,personal,easy,15,20,Weekly Review,"Weekly reflection improves emotional clarity.","Write 3 wins, 3 challenges, 3 gratitudes.","personal;reflection"
99,Organize makeup drawer,home,easy,20,38,Task Decomposition,"Breaking drawer into sections reduces overwhelm.","Empty drawer, clean, categorize items.","home;organization"
100,Practice breathing exercises,personal,easy,10,34,Habit Stacking,"Stacking breathing onto daily routine increases consistency.","Inhale 4s, exhale 6s, repeat for 10 minutes.","personal;breathing"
101,Review physics formulas,study,medium,25,8,Spaced Repetition,"Formulas memorized best through spaced intervals.","Review formulas, write them twice, solve 2 sample problems.","study;science"
102,Clean balcony floor,home,medium,30,23,Task Batching,"Batching outdoor cleaning improves efficiency.","Sweep debris, mop floor, dry surface.","home;cleaning"
103,Practice push-up variations,fitness,medium,20,17,Energy-Based Scheduling,"Push-up training requires moderate energy.","Warm up, perform incline, decline, and diamond push-ups.","fitness;strength"
104,Write marketing headline ideas,work,medium,25,29,Mind Mapping,"Mind Mapping helps generate structured headline ideas.","Create central theme, branch 10 headline variations.","work;creative"
105,Organize medicine cabinet,home,medium,30,38,Task Decomposition,"Breaking cabinet into sections reduces overwhelm.","Empty shelf, check expiry dates, categorize items.","home;organization"
106,Prepare overnight oats,home,easy,10,34,Habit Stacking,"Stacking breakfast prep onto evening routine increases consistency.","Mix oats, milk, fruit, refrigerate overnight.","home;cooking"
107,Review project requirements,work,medium,30,39,Backwards Planning,"Working backward clarifies requirement dependencies.","List requirements, identify blockers, update notes.","work;planning"
108,Practice glute activation exercises,fitness,medium,20,46,Daily Rituals,"Daily activation improves lower-body strength.","Perform bridges, clamshells, kickbacks.","fitness;strength"
109,Write short story draft,creative,medium,40,42,Micro-Goals,"Small writing goals improve creative output.","Write intro, develop character, outline conflict.","creative;writing"
110,Clean laundry area,home,medium,25,23,Task Batching,"Batching cleaning tasks increases efficiency.","Wipe surfaces, organize detergents, clean floor.","home;cleaning"
111,Review monthly study plan,study,medium,30,20,Weekly Review,"Weekly review supports monthly alignment.","Check progress, adjust goals, add notes.","study;planning"
112,Practice shoulder mobility,fitness,easy,15,46,Daily Rituals,"Daily mobility improves flexibility.","Perform circles, band pull-aparts, stretches.","fitness;mobility"
113,Write product comparison notes,work,medium,35,7,SMART Goals,"SMART structure improves clarity in comparisons.","List features, score each, write summary.","work;analysis"
114,Organize craft supplies,creative,easy,20,38,Task Decomposition,"Breaking supplies into categories reduces overwhelm.","Sort items, label containers, store neatly.","creative;organization"
115,Prepare vegetable soup,home,medium,35,4,Time Blocking,"Cooking fits well into structured time blocks.","Chop vegetables, simmer broth, blend if needed.","home;cooking"
116,Practice reading comprehension,study,medium,25,8,Spaced Repetition,"Reading comprehension improves with spaced practice.","Read passage, answer questions, summarize.","study;reading"
117,Clean car interior,home,medium,40,23,Task Batching,"Batching car cleaning tasks increases efficiency.","Vacuum seats, wipe dashboard, clean windows.","home;cleaning"
118,Write daily planning notes,personal,easy,10,26,Daily Highlight,"Highlighting one key task improves focus.","List tasks, choose highlight, schedule time.","personal;planning"
119,Practice calf raises,fitness,easy,15,46,Daily Rituals,"Daily calf work improves stability.","Perform raises slowly, hold at top, repeat.","fitness;strength"
120,Review coding project structure,work,medium,30,11,Kanban,"Kanban visualizes progress through project sections.","Check modules, update board, assign next steps.","work;coding"
121,Prepare fruit-infused water,home,easy,10,37,Time Anchoring,"Anchoring hydration prep to morning improves consistency.","Slice fruit, add to water, refrigerate.","home;hydration"
122,Practice sketching human faces,creative,medium,35,42,Micro-Goals,"Small drills improve facial proportions.","Sketch eyes, nose, mouth separately, combine.","creative;art"
123,Clean bedroom closet,home,medium,40,38,Task Decomposition,"Breaking closet tasks into sections reduces overwhelm.","Empty section, fold clothes, reorganize.","home;organization"
124,Review exam practice test,study,hard,40,40,Daily Scorecard,"Scoring test performance improves learning quality.","Take test, score answers, review mistakes.","study;exam"
125,Practice kettlebell swings,fitness,hard,25,17,Energy-Based Scheduling,"Kettlebell swings require high-energy periods.","Warm up, perform swings, rest between sets.","fitness;strength"
126,Review chemistry equations,study,medium,25,8,Spaced Repetition,"Equations memorized best through spaced intervals.","Review equations, rewrite them twice, solve 2 problems.","study;science"
127,Clean kitchen backsplash,home,easy,15,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Spray cleaner, wipe tiles, dry surface.","home;cleaning"
128,Practice lunges routine,fitness,medium,20,17,Energy-Based Scheduling,"Lunges require moderate energy.","Warm up, perform forward and side lunges.","fitness;strength"
129,Write UX improvement notes,work,medium,30,39,Backwards Planning,"Start from desired UX outcome and work backward.","List issues, propose improvements, prioritize.","work;analysis"
130,Organize stationery drawer,home,easy,20,38,Task Decomposition,"Breaking drawer into sections reduces overwhelm.","Empty drawer, sort items, categorize.","home;organization"
131,Prepare chia pudding,home,easy,10,34,Habit Stacking,"Stacking breakfast prep onto evening routine increases consistency.","Mix chia seeds, milk, sweetener, refrigerate.","home;cooking"
132,Review sprint backlog,work,medium,30,11,Kanban,"Kanban visualizes backlog progress.","Check tasks, update statuses, assign next steps.","work;planning"
133,Practice hip mobility,fitness,easy,15,46,Daily Rituals,"Daily mobility improves flexibility.","Perform hip circles, stretches, controlled rotations.","fitness;mobility"
134,Write character sketches,creative,medium,35,42,Micro-Goals,"Small writing goals improve creative output.","Sketch character traits, background, motivations.","creative;writing"
135,Clean entryway floor,home,easy,15,23,Task Batching,"Batching cleaning tasks increases efficiency.","Sweep floor, mop, dry thoroughly.","home;cleaning"
136,Review investment portfolio,finance,medium,30,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check performance, adjust allocations, add notes.","finance;planning"
137,Practice typing accuracy drills,personal,medium,20,25,Focus Blocks,"Focused practice improves typing precision.","Use typing test, repeat drills, track errors.","personal;skills"
138,Prepare scrambled eggs,home,easy,10,4,Time Blocking,"Cooking fits well into structured time blocks.","Beat eggs, cook slowly, season lightly.","home;cooking"
139,Write daily reflection summary,personal,easy,10,58,Task Journaling,"Journaling reflections improves clarity.","Write 3 insights, 1 challenge, 1 gratitude.","personal;reflection"
140,Practice glute bridges,fitness,easy,15,46,Daily Rituals,"Daily glute activation improves strength.","Perform bridges slowly, hold at top, repeat.","fitness;strength"
141,Organize digital photos,home,medium,35,3,GTD,"GTD helps categorize digital clutter.","Sort photos, create albums, delete duplicates.","home;digital"
142,Write meeting follow-up notes,work,medium,25,7,SMART Goals,"SMART structure improves clarity in follow-ups.","List decisions, assign tasks, set deadlines.","work;planning"
143,Practice watercolor layering,creative,medium,30,42,Micro-Goals,"Small drills improve layering technique.","Paint base layer, add mid-tones, refine details.","creative;art"
144,Clean stovetop burners,home,medium,25,23,Task Batching,"Batching cleaning tasks increases efficiency.","Remove burners, scrub, rinse, dry.","home;cleaning"
145,Review biology flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;memory"
146,Prepare pasta dish,home,medium,30,37,Time Anchoring,"Anchoring cooking to evening improves consistency.","Boil pasta, cook sauce, combine ingredients.","home;cooking"
147,Practice yoga sun salutations,fitness,medium,20,46,Daily Rituals,"Daily yoga improves flexibility and focus.","Perform sun salutation sequence slowly.","fitness;yoga"
148,Write weekly personal goals,personal,medium,25,20,Weekly Review,"Weekly review supports personal alignment.","List goals, set deadlines, add notes.","personal;planning"
149,Organize shoe rack,home,easy,20,38,Task Decomposition,"Breaking shoe rack tasks into sections reduces overwhelm.","Sort shoes, clean rack, arrange neatly.","home;organization"
150,Practice forearm plank holds,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Hold plank, increase duration gradually.","fitness;core"
151,Review algebra practice problems,study,medium,25,8,Spaced Repetition,"Math skills improve with spaced intervals.","Solve 5 problems, check answers, repeat difficult ones.","study;math"
152,Clean kitchen drawers,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Empty drawers, wipe surfaces, reorganize items.","home;cleaning"
153,Practice dumbbell shoulder press,fitness,medium,20,17,Energy-Based Scheduling,"Strength training requires moderate energy.","Warm up, perform sets, increase weight gradually.","fitness;strength"
154,Write UI design notes,work,medium,30,29,Mind Mapping,"Mind Mapping helps visualize UI relationships.","Sketch layout, branch components, add notes.","work;design"
155,Organize cleaning supplies,home,easy,20,38,Task Decomposition,"Breaking supplies into categories reduces overwhelm.","Sort items, label containers, store neatly.","home;organization"
156,Prepare fruit yogurt cups,home,easy,10,34,Habit Stacking,"Stacking snack prep onto morning routine increases consistency.","Mix yogurt, add fruit, refrigerate.","home;mealprep"
157,Review team meeting notes,work,medium,25,20,Weekly Review,"Weekly review clarifies team priorities.","List action items, assign owners, update deadlines.","work;planning"
158,Practice hamstring stretches,fitness,easy,15,46,Daily Rituals,"Daily stretching improves flexibility.","Perform forward fold, hold 30s, repeat.","fitness;stretching"
159,Write creative dialogue,creative,medium,30,42,Micro-Goals,"Small writing goals improve creative output.","Write conversation, refine tone, adjust pacing.","creative;writing"
160,Clean living room carpet,home,medium,35,23,Task Batching,"Batching cleaning tasks increases efficiency.","Vacuum carpet, spot clean stains, deodorize.","home;cleaning"
161,Review savings goals,finance,medium,25,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check progress, adjust targets, update plan.","finance;planning"
162,Practice typing speed drills,personal,medium,20,25,Focus Blocks,"Focused practice improves typing speed.","Use typing test, repeat drills, track progress.","personal;skills"
163,Prepare grilled chicken salad,home,medium,30,4,Time Blocking,"Cooking fits well into structured time blocks.","Grill chicken, chop vegetables, assemble salad.","home;cooking"
164,Write daily mood reflection,personal,easy,10,58,Task Journaling,"Journaling mood improves emotional clarity.","Write mood score, describe feelings, add note.","personal;reflection"
165,Practice glute kickbacks,fitness,easy,15,46,Daily Rituals,"Daily activation improves lower-body strength.","Perform kickbacks slowly, hold at top, repeat.","fitness;strength"
166,Organize digital documents,home,medium,35,3,GTD,"GTD helps categorize digital clutter.","Sort documents, create folders, delete old files.","home;digital"
167,Write project improvement ideas,work,medium,30,7,SMART Goals,"SMART structure improves clarity in improvements.","List issues, propose solutions, set deadlines.","work;analysis"
168,Practice watercolor detailing,creative,medium,30,42,Micro-Goals,"Small drills improve detailing technique.","Add highlights, refine edges, blend softly.","creative;art"
169,Clean bathroom mirror,home,easy,10,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Spray cleaner, wipe glass, dry edges.","home;cleaning"
170,Review geography flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;memory"
171,Prepare rice and vegetables,home,medium,30,37,Time Anchoring,"Anchoring cooking to evening improves consistency.","Cook rice, sauté vegetables, season lightly.","home;cooking"
172,Practice yoga balance flow,fitness,medium,25,46,Daily Rituals,"Daily balance practice improves stability.","Perform tree pose, warrior III, hold each 30s.","fitness;yoga"
173,Write weekly gratitude notes,personal,easy,15,20,Weekly Review,"Weekly reflection improves emotional clarity.","Write 3 wins, 3 challenges, 3 gratitudes.","personal;reflection"
174,Organize art supplies shelf,creative,medium,30,38,Task Decomposition,"Breaking shelf tasks into sections reduces overwhelm.","Sort supplies, label containers, arrange neatly.","creative;organization"
175,Practice bicycle crunches,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Perform crunches slowly, focus on form.","fitness;core"
176,Review physics chapter summary,study,medium,25,8,Spaced Repetition,"Summaries reviewed at intervals improve retention.","Read summary, highlight formulas, write 3 key insights.","study;science"
177,Clean kitchen counter edges,home,easy,10,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Wipe edges, clean corners, dry surface.","home;cleaning"
178,Practice dumbbell rows,fitness,medium,20,17,Energy-Based Scheduling,"Strength training requires moderate energy.","Warm up, perform rows slowly, increase weight.","fitness;strength"
179,Write product roadmap ideas,work,medium,30,29,Mind Mapping,"Mind Mapping helps visualize roadmap structure.","Create central goal, branch features, add timelines.","work;planning"
180,Organize towel cabinet,home,easy,20,38,Task Decomposition,"Breaking cabinet tasks into sections reduces overwhelm.","Fold towels, sort by size, arrange neatly.","home;organization"
181,Prepare fruit salad,home,easy,15,34,Habit Stacking,"Stacking fruit prep onto kitchen routine increases consistency.","Cut fruit, mix in bowl, refrigerate.","home;cooking"
182,Review team sprint goals,work,medium,30,20,Weekly Review,"Weekly review clarifies sprint direction.","List goals, adjust priorities, update board.","work;planning"
183,Practice quad stretches,fitness,easy,15,46,Daily Rituals,"Daily stretching improves flexibility.","Perform quad stretch, hold 30s, repeat.","fitness;stretching"
184,Write creative short scene,creative,medium,30,42,Micro-Goals,"Small writing goals improve creative output.","Write scene, refine dialogue, adjust pacing.","creative;writing"
185,Clean bedroom nightstand,home,easy,15,23,Task Batching,"Batching cleaning tasks increases efficiency.","Wipe surface, organize items, clean drawer.","home;cleaning"
186,Review monthly expenses,finance,medium,30,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check categories, adjust budget, update notes.","finance;planning"
187,Practice typing precision drills,personal,medium,20,25,Focus Blocks,"Focused practice improves typing precision.","Use typing test, repeat drills, track errors.","personal;skills"
188,Prepare chicken wrap,home,medium,25,4,Time Blocking,"Cooking fits well into structured time blocks.","Cook chicken, chop vegetables, assemble wrap.","home;cooking"
189,Write daily reflection paragraph,personal,easy,10,58,Task Journaling,"Journaling reflections improves clarity.","Write paragraph about thoughts and feelings.","personal;reflection"
