task,category,difficulty,duration_estimate,framework_name,reasoning,instructions,tags
Write a 2-page project summary,work,medium,45,Time Blocking,Time Blocking helps allocate a clear writing window.,"Block 45 minutes, outline key points, write summary, revise.",work;writing;planning
Review pull requests,work,medium,45,Kanban,Kanban visualizes review progress.,"Open PR list, move items through review stages.",work;code-review
Practice breathing meditation,personal,easy,10,Habit Stacking,Attach meditation to an existing habit.,"Sit comfortably, inhale 4s, exhale 6s, repeat.",personal;meditation
Prepare lunchbox for tomorrow,home,easy,15,Daily Highlight,Making lunch the highlight ensures consistency.,"Cook protein, add vegetables, pack snacks.",home;mealprep
Write 1-page research reflection,study,medium,30,Daily Scorecard,Score reflections to track learning quality.,"Summarize findings, add personal interpretation.",study;reflection
Organize wardrobe drawers,home,medium,35,Task Decomposition,Breaking drawers into sections reduces overwhelm.,"Empty drawer, sort items, fold, restock.",home;organization
Practice guitar chords,personal,medium,30,Focus Blocks,Longer focus periods improve musical practice.,"Warm up fingers, practice chord transitions.",personal;music
Prepare smoothie for breakfast,home,easy,10,Time Anchoring,Anchoring tasks to morning improves consistency.,"Blend fruit, yogurt, seeds, store in fridge.",home;cooking
Write sprint tasks,work,medium,40,Weekly Review,Weekly review clarifies sprint priorities.,"List tasks, estimate effort, assign owners.",work;planning
Clean living room surfaces,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Dust shelves, wipe table, clean TV stand.",home;cleaning
Practice drawing shapes,creative,easy,20,Mind Mapping,Visual mapping helps understand shape relationships.,"Draw circles, squares, triangles, combine forms.",creative;art
Write documentation for new feature,work,medium,60,Task Decomposition,Breaking documentation into sections improves clarity.,"Outline sections, write drafts, refine examples.",work;documentation
Clean stovetop thoroughly,home,easy,15,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Remove grates, wipe surface, clean burners.",home;cleaning
Practice coding interview questions,career,hard,60,Work Sprints,Short sprints improve problem-solving focus.,"Set timer, solve one problem, review solution.",career;coding
Prepare weekly meal plan,home,medium,45,Time Blocking,Meal planning fits well into structured time blocks.,"Choose recipes, assign days, list ingredients.",home;planning
Read 15 pages of a book,personal,easy,20,Daily Highlight,Making reading the highlight increases consistency.,"Set timer, read actively, summarize key ideas.",personal;reading
Organize cables behind desk,home,easy,20,GTD,GTD helps clarify and categorize clutter.,"Unplug cables, label them, tie and route neatly.",home;organization
Write cover letter draft,career,medium,45,SMART Goals,SMART structure improves clarity and impact.,"Write intro, highlight achievements, tailor message.",career;writing
Practice piano scales,personal,medium,30,Focus Blocks,Longer focus periods improve musical accuracy.,"Warm up, practice scales slowly, increase tempo.",personal;music
Clean fridge shelves,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Remove items, wipe shelves, reorganize sections.",home;cleaning
Review financial budget,finance,medium,30,Time Audit,Auditing time helps align budgeting habits.,"Check expenses, compare categories, adjust limits.",finance;planning
Prepare smoothie bowl,home,easy,15,Habit Stacking,Stacking breakfast prep onto morning routine.,"Blend fruit, add toppings, store in fridge.",home;cooking
Practice drawing shading techniques,creative,medium,30,Micro-Goals,Small shading drills improve technique.,"Practice gradients, cross-hatching, soft shading.",creative;art
Write sprint retrospective notes,work,medium,30,Weekly Review,Weekly review supports sprint reflection.,"List wins, challenges, improvements.",work;planning
Clean oven interior,home,medium,40,Task Decomposition,Breaking oven cleaning into steps reduces overwhelm.,"Apply cleaner, scrub racks, wipe interior.",home;cleaning
Practice yoga breathing,fitness,easy,15,Daily Rituals,Daily breathing rituals improve calm and focus.,"Inhale 4s, hold 2s, exhale 6s, repeat.",fitness;breathing
Organize bookshelf by category,home,easy,25,Kanban,Kanban visualizes progress shelf-by-shelf.,"Sort books, categorize, arrange neatly.",home;organization
Write API documentation,work,medium,60,Backwards Planning,Start from final API usage and work backward.,"Document endpoints, examples, error codes.",work;documentation
Practice language listening exercises,study,medium,30,Spaced Repetition,Listening practice benefits from spaced intervals.,"Listen to audio, repeat phrases, note new words.",study;language
Prepare dinner (simple recipe),home,medium,45,Time Blocking,Cooking fits well into structured time blocks.,"Chop ingredients, cook protein, plate meal.",home;cooking
Clean windows in living room,home,medium,35,Task Batching,Batching window cleaning improves efficiency.,"Spray cleaner, wipe glass, dry edges.",home;cleaning
Write daily gratitude list,personal,easy,10,Task Journaling,Journaling gratitude improves mood and clarity.,Write 3 things you're grateful for.,personal;reflection
Practice strength training routine,fitness,hard,45,Energy-Based Scheduling,Strength training requires high-energy periods.,"Warm up, perform sets, track reps.",fitness;strength
Review calendar events,planning,easy,10,Weekly Review,Weekly review clarifies upcoming commitments.,"Check events, adjust priorities, add notes.",planning;organization
Practice photography composition,creative,medium,40,Mind Mapping,Mapping visual ideas improves composition.,"Practice rule of thirds, leading lines.",creative;photography
Organize kitchen cabinets,home,medium,45,Task Decomposition,Breaking cabinets into sections reduces overwhelm.,"Empty cabinet, clean shelves, categorize items.",home;organization
Write weekly study goals,study,medium,25,SMART Goals,SMART structure improves clarity and direction.,"Define specific goals, set deadlines, list resources.",study;planning
Clean shower walls,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Spray cleaner, scrub tiles, rinse thoroughly.",home;cleaning
Practice HIIT workout,fitness,hard,25,Energy-Based Scheduling,HIIT requires high-energy periods.,"Warm up, perform intervals, cool down.",fitness;hiit
Organize email inbox,work,medium,35,GTD,GTD helps categorize and clarify digital clutter.,"Sort emails, archive old ones, flag important items.",work;organization
Write 3 creative ideas,creative,easy,15,Micro-Goals,Small creative goals increase output.,"Brainstorm ideas, write short descriptions.",creative;ideation
Prepare weekly grocery list,home,easy,20,Time Horizons,Planning across horizons improves consistency.,"Check pantry, list items, categorize by store section.",home;planning
Practice mindfulness meditation,personal,easy,10,Habit Stacking,Stacking meditation onto a daily habit increases consistency.,"Sit comfortably, breathe deeply, observe thoughts.",personal;meditation
Review coding notes,study,easy,20,Spaced Repetition,Reviewing notes at intervals improves retention.,"Read notes, highlight key concepts, summarize.",study;coding
Clean kitchen sink,home,easy,10,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Scrub sink, rinse, wipe dry.",home;cleaning
Write product feature ideas,work,medium,30,Mind Mapping,Mind Mapping helps visualize feature relationships.,"Create central node, branch features, add notes.",work
Practice stretching routine,fitness,easy,15,Daily Rituals,Daily stretching improves mobility.,"Stretch hamstrings, quads, shoulders, hold each 20s.",fitness;stretching
Organize desktop files,home,easy,20,GTD,GTD helps categorize digital clutter.,"Sort files, create folders, delete duplicates.",home;digital
Write daily task list,planning,easy,10,Daily Highlight,Highlighting one key task improves focus.,"List tasks, choose highlight, schedule time.",planning;organization
Practice drawing perspective,creative,medium,30,Micro-Goals,Small drills improve perspective accuracy.,"Draw horizon line, vanishing points, simple shapes.",creative;art
Prepare lunch meal,home,medium,30,Time Blocking,Cooking fits well into structured time blocks.,"Chop ingredients, cook protein, assemble meal.",home;cooking
Review monthly goals,personal,medium,25,Weekly Review,Weekly review supports monthly alignment.,"Check progress, adjust goals, add notes.",personal;planning
Practice balance exercises,fitness,medium,20,Energy-Based Scheduling,Balance training requires moderate energy.,"Stand on one leg, shift weight, repeat.",fitness;balance
Write summary of article,study,medium,25,Daily Scorecard,Scoring summaries improves learning quality.,"Read article, write key points, add reflection.",study;writing
Clean bedroom floor,home,easy,15,Task Batching,Batching cleaning tasks increases efficiency.,"Vacuum floor, wipe corners, tidy items.",home;cleaning
Practice singing warm-ups,personal,easy,20,Focus Blocks,Focused practice improves vocal control.,"Hum scales, practice breathing, sing simple notes.",personal;music
Organize wardrobe hangers,home,easy,20,Task Decomposition,Breaking wardrobe tasks into sections reduces overwhelm.,"Sort clothes, replace hangers, arrange by type.",home;organization
Write brainstorming notes,creative,easy,15,Mind Mapping,Mind Mapping helps visualize idea clusters.,"Create central idea, branch subtopics.",creative;ideation
Prepare dinner ingredients,home,medium,25,Time Anchoring,Anchoring prep to evening improves consistency.,"Chop vegetables, marinate protein, store.",home;cooking
Review project timeline,work,medium,30,Backwards Planning,Working backward clarifies timeline dependencies.,"List milestones, adjust deadlines, update tasks.",work;planning
Practice core workout,fitness,medium,20,Daily Rituals,Daily core routines improve strength.,"Perform planks, crunches, leg raises.",fitness;core
Review lecture slides,study,easy,20,Spaced Repetition,Slides reviewed at intervals improve retention.,"Read slides, highlight key points, write 3-sentence summary.",study;review
Clean dining table,home,easy,10,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Wipe surface, clean edges, dry with cloth.",home;cleaning
Practice jump rope routine,fitness,medium,15,Energy-Based Scheduling,Jump rope requires moderate energy.,"Warm up, jump 1-minute intervals, rest between sets.",fitness;cardio
Write weekly content ideas,creative,medium,30,Mind Mapping,Mind Mapping helps generate structured content ideas.,"Create central theme, branch 5 ideas, add notes.",creative;content
Organize bathroom cabinet,home,medium,30,Task Decomposition,Breaking cabinet into sections reduces overwhelm.,"Empty shelf, clean, categorize items, restock.",home;organization
Prepare fruit snack boxes,home,easy,15,Habit Stacking,Stacking snack prep onto kitchen routine increases consistency.,"Cut fruit, portion into containers, refrigerate.",home;mealprep
Review team tasks,work,medium,25,Kanban,Kanban visualizes task progress.,"Check board, update statuses, assign next steps.",work;planning
Practice squat technique,fitness,medium,20,Daily Rituals,Daily squat practice improves form.,"Warm up, perform slow squats, focus on depth.",fitness;strength
Write short poem,creative,easy,15,Micro-Goals,Small creative goals improve output.,"Choose theme, write 4 lines, refine wording.",creative;writing
Clean hallway floor,home,easy,15,Task Batching,Batching cleaning tasks increases efficiency.,"Sweep floor, mop surface, dry area.",home;cleaning
Review monthly finances,finance,medium,30,Time Audit,Auditing time aligns with reviewing financial habits.,"Check expenses, compare categories, adjust budget.",finance;planning
Practice typing speed,personal,medium,20,Focus Blocks,Focused practice improves typing accuracy.,"Use typing test, repeat drills, track progress.",personal;skills
Prepare breakfast omelette,home,easy,15,Time Blocking,Cooking fits well into structured time blocks.,"Beat eggs, cook vegetables, fold omelette.",home;cooking
Write daily affirmation list,personal,easy,10,Task Journaling,Journaling affirmations improves mindset.,"Write 5 affirmations, read aloud.",personal;reflection
Practice plank variations,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Hold plank, side plank, knee-to-elbow plank.",fitness;core
Organize study desk,study,easy,15,GTD,GTD helps categorize and clarify clutter.,"Clear desk, sort items, place essentials only.",study;organization
Write product feedback notes,work,medium,25,Backwards Planning,Start from desired product outcome and work backward.,"List issues, propose improvements, prioritize.",work;analysis
Practice watercolor blending,creative,medium,30,Micro-Goals,Small drills improve blending technique.,"Blend two colors, practice gradients, refine edges.",creative;art
Clean kitchen floor,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Sweep floor, mop, dry thoroughly.",home;cleaning
Review exam flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;memory
Prepare vegetable stir-fry,home,medium,25,Time Anchoring,Anchoring cooking to evening improves consistency.,"Chop vegetables, stir-fry, season lightly.",home;cooking
Practice balance yoga poses,fitness,medium,25,Daily Rituals,Daily balance practice improves stability.,"Perform tree pose, warrior III, hold each 30s.",fitness;yoga
Write weekly gratitude reflection,personal,easy,15,Weekly Review,Weekly reflection improves emotional clarity.,"Write 3 wins, 3 challenges, 3 gratitudes.",personal;reflection
Organize makeup drawer,home,easy,20,Task Decomposition,Breaking drawer into sections reduces overwhelm.,"Empty drawer, clean, categorize items.",home;organization
Practice breathing exercises,personal,easy,10,Habit Stacking,Stacking breathing onto daily routine increases consistency.,"Inhale 4s, exhale 6s, repeat for 10 minutes.",personal;breathing
Review physics formulas,study,medium,25,Spaced Repetition,Formulas memorized best through spaced intervals.,"Review formulas, write them twice, solve 2 sample problems.",study;science
Clean balcony floor,home,medium,30,Task Batching,Batching outdoor cleaning improves efficiency.,"Sweep debris, mop floor, dry surface.",home;cleaning
Practice push-up variations,fitness,medium,20,Energy-Based Scheduling,Push-up training requires moderate energy.,"Warm up, perform incline, decline, and diamond push-ups.",fitness;strength
Write marketing headline ideas,work,medium,25,Mind Mapping,Mind Mapping helps generate structured headline ideas.,"Create central theme, branch 10 headline variations.",work;creative
Organize medicine cabinet,home,medium,30,Task Decomposition,Breaking cabinet into sections reduces overwhelm.,"Empty shelf, check expiry dates, categorize items.",home;organization
Prepare overnight oats,home,easy,10,Habit Stacking,Stacking breakfast prep onto evening routine increases consistency.,"Mix oats, milk, fruit, refrigerate overnight.",home;cooking
Review project requirements,work,medium,30,Backwards Planning,Working backward clarifies requirement dependencies.,"List requirements, identify blockers, update notes.",work;planning
Practice glute activation exercises,fitness,medium,20,Daily Rituals,Daily activation improves lower-body strength.,"Perform bridges, clamshells, kickbacks.",fitness;strength
Write short story draft,creative,medium,40,Micro-Goals,Small writing goals improve creative output.,"Write intro, develop character, outline conflict.",creative;writing
Clean laundry area,home,medium,25,Task Batching,Batching cleaning tasks increases efficiency.,"Wipe surfaces, organize detergents, clean floor.",home;cleaning
Review monthly study plan,study,medium,30,Weekly Review,Weekly review supports monthly alignment.,"Check progress, adjust goals, add notes.",study;planning
Practice shoulder mobility,fitness,easy,15,Daily Rituals,Daily mobility improves flexibility.,"Perform circles, band pull-aparts, stretches.",fitness;mobility
Write product comparison notes,work,medium,35,SMART Goals,SMART structure improves clarity in comparisons.,"List features, score each, write summary.",work;analysis
Organize craft supplies,creative,easy,20,Task Decomposition,Breaking supplies into categories reduces overwhelm.,"Sort items, label containers, store neatly.",creative;organization
Prepare vegetable soup,home,medium,35,Time Blocking,Cooking fits well into structured time blocks.,"Chop vegetables, simmer broth, blend if needed.",home;cooking
Practice reading comprehension,study,medium,25,Spaced Repetition,Reading comprehension improves with spaced practice.,"Read passage, answer questions, summarize.",study;reading
Clean car interior,home,medium,40,Task Batching,Batching car cleaning tasks increases efficiency.,"Vacuum seats, wipe dashboard, clean windows.",home;cleaning
Write daily planning notes,personal,easy,10,Daily Highlight,Highlighting one key task improves focus.,"List tasks, choose highlight, schedule time.",personal;planning
Practice calf raises,fitness,easy,15,Daily Rituals,Daily calf work improves stability.,"Perform raises slowly, hold at top, repeat.",fitness;strength
Review coding project structure,work,medium,30,Kanban,Kanban visualizes progress through project sections.,"Check modules, update board, assign next steps.",work;coding
Prepare fruit-infused water,home,easy,10,Time Anchoring,Anchoring hydration prep to morning improves consistency.,"Slice fruit, add to water, refrigerate.",home;hydration
Practice sketching human faces,creative,medium,35,Micro-Goals,Small drills improve facial proportions.,"Sketch eyes, nose, mouth separately, combine.",creative;art
Clean bedroom closet,home,medium,40,Task Decomposition,Breaking closet tasks into sections reduces overwhelm.,"Empty section, fold clothes, reorganize.",home;organization
Review exam practice test,study,hard,40,Daily Scorecard,Scoring test performance improves learning quality.,"Take test, score answers, review mistakes.",study;exam
Practice kettlebell swings,fitness,hard,25,Energy-Based Scheduling,Kettlebell swings require high-energy periods.,"Warm up, perform swings, rest between sets.",fitness;strength
Review chemistry equations,study,medium,25,Spaced Repetition,Equations memorized best through spaced intervals.,"Review equations, rewrite them twice, solve 2 problems.",study;science
Clean kitchen backsplash,home,easy,15,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Spray cleaner, wipe tiles, dry surface.",home;cleaning
Practice lunges routine,fitness,medium,20,Energy-Based Scheduling,Lunges require moderate energy.,"Warm up, perform forward and side lunges.",fitness;strength
Write UX improvement notes,work,medium,30,Backwards Planning,Start from desired UX outcome and work backward.,"List issues, propose improvements, prioritize.",work;analysis
Organize stationery drawer,home,easy,20,Task Decomposition,Breaking drawer into sections reduces overwhelm.,"Empty drawer, sort items, categorize.",home;organization
Prepare chia pudding,home,easy,10,Habit Stacking,Stacking breakfast prep onto evening routine increases consistency.,"Mix chia seeds, milk, sweetener, refrigerate.",home;cooking
Review sprint backlog,work,medium,30,Kanban,Kanban visualizes backlog progress.,"Check tasks, update statuses, assign next steps.",work;planning
Practice hip mobility,fitness,easy,15,Daily Rituals,Daily mobility improves flexibility.,"Perform hip circles, stretches, controlled rotations.",fitness;mobility
Write character sketches,creative,medium,35,Micro-Goals,Small writing goals improve creative output.,"Sketch character traits, background, motivations.",creative;writing
Clean entryway floor,home,easy,15,Task Batching,Batching cleaning tasks increases efficiency.,"Sweep floor, mop, dry thoroughly.",home;cleaning
Review investment portfolio,finance,medium,30,Time Audit,Auditing time aligns with reviewing financial habits.,"Check performance, adjust allocations, add notes.",finance;planning
Practice typing accuracy drills,personal,medium,20,Focus Blocks,Focused practice improves typing precision.,"Use typing test, repeat drills, track errors.",personal;skills
Prepare scrambled eggs,home,easy,10,Time Blocking,Cooking fits well into structured time blocks.,"Beat eggs, cook slowly, season lightly.",home;cooking
Write daily reflection summary,personal,easy,10,Task Journaling,Journaling reflections improves clarity.,"Write 3 insights, 1 challenge, 1 gratitude.",personal;reflection
Practice glute bridges,fitness,easy,15,Daily Rituals,Daily glute activation improves strength.,"Perform bridges slowly, hold at top, repeat.",fitness;strength
Organize digital photos,home,medium,35,GTD,GTD helps categorize digital clutter.,"Sort photos, create albums, delete duplicates.",home;digital
Write meeting follow-up notes,work,medium,25,SMART Goals,SMART structure improves clarity in follow-ups.,"List decisions, assign tasks, set deadlines.",work;planning
Practice watercolor layering,creative,medium,30,Micro-Goals,Small drills improve layering technique.,"Paint base layer, add mid-tones, refine details.",creative;art
Clean stovetop burners,home,medium,25,Task Batching,Batching cleaning tasks increases efficiency.,"Remove burners, scrub, rinse, dry.",home;cleaning
Review biology flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;memory
Prepare pasta dish,home,medium,30,Time Anchoring,Anchoring cooking to evening improves consistency.,"Boil pasta, cook sauce, combine ingredients.",home;cooking
Practice yoga sun salutations,fitness,medium,20,Daily Rituals,Daily yoga improves flexibility and focus.,Perform sun salutation sequence slowly.,fitness;yoga
Write weekly personal goals,personal,medium,25,Weekly Review,Weekly review supports personal alignment.,"List goals, set deadlines, add notes.",personal;planning
Organize shoe rack,home,easy,20,Task Decomposition,Breaking shoe rack tasks into sections reduces overwhelm.,"Sort shoes, clean rack, arrange neatly.",home;organization
Practice forearm plank holds,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Hold plank, increase duration gradually.",fitness;core
Review algebra practice problems,study,medium,25,Spaced Repetition,Math skills improve with spaced intervals.,"Solve 5 problems, check answers, repeat difficult ones.",study;math
Clean kitchen drawers,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Empty drawers, wipe surfaces, reorganize items.",home;cleaning
Practice dumbbell shoulder press,fitness,medium,20,Energy-Based Scheduling,Strength training requires moderate energy.,"Warm up, perform sets, increase weight gradually.",fitness;strength
Write UI design notes,work,medium,30,Mind Mapping,Mind Mapping helps visualize UI relationships.,"Sketch layout, branch components, add notes.",work;design
Organize cleaning supplies,home,easy,20,Task Decomposition,Breaking supplies into categories reduces overwhelm.,"Sort items, label containers, store neatly.",home;organization
Prepare fruit yogurt cups,home,easy,10,Habit Stacking,Stacking snack prep onto morning routine increases consistency.,"Mix yogurt, add fruit, refrigerate.",home;mealprep
Review team meeting notes,work,medium,25,Weekly Review,Weekly review clarifies team priorities.,"List action items, assign owners, update deadlines.",work;planning
Practice hamstring stretches,fitness,easy,15,Daily Rituals,Daily stretching improves flexibility.,"Perform forward fold, hold 30s, repeat.",fitness;stretching
Write creative dialogue,creative,medium,30,Micro-Goals,Small writing goals improve creative output.,"Write conversation, refine tone, adjust pacing.",creative;writing
Clean living room carpet,home,medium,35,Task Batching,Batching cleaning tasks increases efficiency.,"Vacuum carpet, spot clean stains, deodorize.",home;cleaning
Review savings goals,finance,medium,25,Time Audit,Auditing time aligns with reviewing financial habits.,"Check progress, adjust targets, update plan.",finance;planning
Practice typing speed drills,personal,medium,20,Focus Blocks,Focused practice improves typing speed.,"Use typing test, repeat drills, track progress.",personal;skills
Prepare grilled chicken salad,home,medium,30,Time Blocking,Cooking fits well into structured time blocks.,"Grill chicken, chop vegetables, assemble salad.",home;cooking
Write daily mood reflection,personal,easy,10,Task Journaling,Journaling mood improves emotional clarity.,"Write mood score, describe feelings, add note.",personal;reflection
Practice glute kickbacks,fitness,easy,15,Daily Rituals,Daily activation improves lower-body strength.,"Perform kickbacks slowly, hold at top, repeat.",fitness;strength
Organize digital documents,home,medium,35,GTD,GTD helps categorize digital clutter.,"Sort documents, create folders, delete old files.",home;digital
Write project improvement ideas,work,medium,30,SMART Goals,SMART structure improves clarity in improvements.,"List issues, propose solutions, set deadlines.",work;analysis
Practice watercolor detailing,creative,medium,30,Micro-Goals,Small drills improve detailing technique.,"Add highlights, refine edges, blend softly.",creative;art
Clean bathroom mirror,home,easy,10,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Spray cleaner, wipe glass, dry edges.",home;cleaning
Review geography flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;memory
Prepare rice and vegetables,home,medium,30,Time Anchoring,Anchoring cooking to evening improves consistency.,"Cook rice, sauté vegetables, season lightly.",home;cooking
Practice yoga balance flow,fitness,medium,25,Daily Rituals,Daily balance practice improves stability.,"Perform tree pose, warrior III, hold each 30s.",fitness;yoga
Write weekly gratitude notes,personal,easy,15,Weekly Review,Weekly reflection improves emotional clarity.,"Write 3 wins, 3 challenges, 3 gratitudes.",personal;reflection
Organize art supplies shelf,creative,medium,30,Task Decomposition,Breaking shelf tasks into sections reduces overwhelm.,"Sort supplies, label containers, arrange neatly.",creative;organization
Practice bicycle crunches,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Perform crunches slowly, focus on form.",fitness;core
Review physics chapter summary,study,medium,25,Spaced Repetition,Summaries reviewed at intervals improve retention.,"Read summary, highlight formulas, write 3 key insights.",study;science
Clean kitchen counter edges,home,easy,10,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Wipe edges, clean corners, dry surface.",home;cleaning
Practice dumbbell rows,fitness,medium,20,Energy-Based Scheduling,Strength training requires moderate energy.,"Warm up, perform rows slowly, increase weight.",fitness;strength
Write product roadmap ideas,work,medium,30,Mind Mapping,Mind Mapping helps visualize roadmap structure.,"Create central goal, branch features, add timelines.",work;planning
Organize towel cabinet,home,easy,20,Task Decomposition,Breaking cabinet tasks into sections reduces overwhelm.,"Fold towels, sort by size, arrange neatly.",home;organization
Prepare fruit salad,home,easy,15,Habit Stacking,Stacking fruit prep onto kitchen routine increases consistency.,"Cut fruit, mix in bowl, refrigerate.",home;cooking
Review team sprint goals,work,medium,30,Weekly Review,Weekly review clarifies sprint direction.,"List goals, adjust priorities, update board.",work;planning
Practice quad stretches,fitness,easy,15,Daily Rituals,Daily stretching improves flexibility.,"Perform quad stretch, hold 30s, repeat.",fitness;stretching
Write creative short scene,creative,medium,30,Micro-Goals,Small writing goals improve creative output.,"Write scene, refine dialogue, adjust pacing.",creative;writing
Clean bedroom nightstand,home,easy,15,Task Batching,Batching cleaning tasks increases efficiency.,"Wipe surface, organize items, clean drawer.",home;cleaning
Review monthly expenses,finance,medium,30,Time Audit,Auditing time aligns with reviewing financial habits.,"Check categories, adjust budget, update notes.",finance;planning
Practice typing precision drills,personal,medium,20,Focus Blocks,Focused practice improves typing precision.,"Use typing test, repeat drills, track errors.",personal;skills
Prepare chicken wrap,home,medium,25,Time Blocking,Cooking fits well into structured time blocks.,"Cook chicken, chop vegetables, assemble wrap.",home;cooking
Write daily reflection paragraph,personal,easy,10,Task Journaling,Journaling reflections improves clarity.,Write paragraph about thoughts and feelings.,personal;reflection
Practice glute side raises,fitness,easy,15,Daily Rituals,Daily activation improves lower-body strength.,"Perform side raises slowly, hold at top.",fitness;strength
Organize digital notes,home,medium,35,GTD,GTD helps categorize digital clutter.,"Sort notes, create folders, delete old items.",home;digital
Write improvement plan for project,work,medium,30,SMART Goals,SMART structure improves clarity in improvement plans.,"List issues, propose solutions, set deadlines.",work;analysis
Practice watercolor shadows,creative,medium,30,Micro-Goals,Small drills improve shadow technique.,"Paint shadows lightly, blend edges, refine.",creative;art
Clean stovetop surface,home,easy,15,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Wipe surface, clean stains, dry thoroughly.",home;cleaning
Review math flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;memory
Prepare vegetable curry,home,medium,35,Time Anchoring,Anchoring cooking to evening improves consistency.,"Chop vegetables, cook curry base, simmer.",home;cooking
Practice yoga flexibility flow,fitness,medium,25,Daily Rituals,Daily yoga improves flexibility.,"Perform flow slowly, hold stretches.",fitness;yoga
Write weekly reflection notes,personal,easy,15,Weekly Review,Weekly reflection improves emotional clarity.,"Write wins, challenges, improvements.",personal;reflection
Organize craft drawer,creative,easy,20,Task Decomposition,Breaking drawer tasks into sections reduces overwhelm.,"Sort supplies, label containers, arrange neatly.",creative;organization
Practice Russian twists,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Perform twists slowly, keep core tight.",fitness;core
Review physics flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;science
Clean kitchen cabinet doors,home,easy,15,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Wipe doors, clean handles, dry surfaces.",home;cleaning
Practice dumbbell bicep curls,fitness,medium,20,Energy-Based Scheduling,Strength training requires moderate energy.,"Warm up, perform curls slowly, increase weight.",fitness;strength
Write UI component ideas,work,medium,30,Mind Mapping,Mind Mapping helps visualize UI component relationships.,"Sketch components, branch variations, add notes.",work;design
