id,title,description,category,horizon,tags
41,Improve keyboard shortcuts usage,"Use shortcuts to speed up daily work.",work,short_term,"efficiency;tools"
42,Automate personal finances,"Set up automatic transfers and bill payments.",finance,medium_term,"automation;finance"
43,Create a long-term career plan,"Define 3–5 year career goals.",career,long_term,"career;planning"
44,Learn cloud fundamentals,"Understand basic cloud services and deployment.",study,medium_term,"cloud;devops"
45,Practice system design interviews,"Solve system design scenarios regularly.",career,medium_term,"interview;systems"
46,Improve note-taking system,"Adopt a consistent note-taking method.",personal,short_term,"notes;organization"
47,Build a habit tracker,"Track habits daily in a simple system.",personal,short_term,"habit;tracking"
48,Reduce email overload,"Batch email processing and set boundaries.",work,short_term,"email;time-management"
49,Create a personal mission statement,"Clarify values and long-term direction.",personal,long_term,"values;reflection"
50,Learn testing best practices,"Understand unit, integration, and e2e tests.",study,medium_term,"testing;quality"
51,Improve debugging skills,"Practice structured debugging techniques.",work,medium_term,"debugging;engineering"
52,Learn containerization basics,"Understand Docker and container workflows.",study,short_term,"docker;devops"
53,Explore orchestration tools,"Try Prefect or Airflow for pipelines.",study,medium_term,"orchestration;data"
54,Build a small API,"Create and deploy a simple backend API.",study,short_term,"api;backend"
55,Improve backlog grooming,"Keep task backlog clean and prioritized.",work,short_term,"backlog;planning"
56,Practice pair programming,"Collaborate regularly with teammates on code.",work,medium_term,"collaboration;learning"
57,Learn about monitoring,"Understand metrics, logs, and dashboards.",study,medium_term,"monitoring;observability"
58,Create a daily shutdown routine,"End each day with a short review and plan.",personal,short_term,"routine;planning"
59,Reduce procrastination triggers,"Identify and address common avoidance patterns.",personal,short_term,"procrastination;behavior"
60,Build confidence in decision-making,"Practice making timely, informed decisions.",personal,medium_term,"decision-making;growth"
61,Improve remote work setup,"Optimize tools and routines for remote work.",work,medium_term,"remote;workflow"
62,Learn keyboard-centric workflows,"Use terminal and shortcuts more effectively.",study,medium_term,"productivity;tools"
63,Practice regular code reviews,"Review code thoughtfully and consistently.",work,short_term,"code-review;quality"
64,Create a learning roadmap,"Plan topics and timelines for skill growth.",study,medium_term,"learning;planning"
65,Improve backlog estimation,"Use story points or time estimates effectively.",work,medium_term,"estimation;agile"
66,Build a simple dashboard,"Visualize key metrics in a small dashboard.",study,short_term,"dashboard;data"
67,Learn about vector databases,"Understand basics of vector search and storage.",study,short_term,"vector-db;ai"
68,Experiment with embeddings,"Compare different embedding models.",study,medium_term,"embeddings;rag"
69,Practice writing clear tickets,"Create actionable, well-scoped tasks.",work,short_term,"tickets;communication"
70,Improve meeting facilitation,"Run efficient, focused meetings.",work,medium_term,"meetings;leadership"
71,Develop mentoring skills,"Support junior teammates effectively.",career,medium_term,"mentoring;leadership"
72,Learn basic security practices,"Understand common security pitfalls.",study,medium_term,"security;engineering"
73,Improve local dev environment,"Streamline setup and tooling.",work,short_term,"dev-env;tools"
74,Create a personal wiki,"Document recurring knowledge and workflows.",personal,medium_term,"wiki;knowledge"
75,Practice regular journaling,"Reflect daily or weekly in writing.",personal,medium_term,"journaling;reflection"
76,Learn about CI/CD,"Understand pipelines and automated deployments.",study,medium_term,"cicd;devops"
77,Reduce multitasking,"Focus on one task at a time.",personal,short_term,"focus;single-tasking"
78,Improve estimation for learning,"Plan realistic time for study sessions.",study,short_term,"learning;planning"
79,Build a simple microservice,"Create and deploy a small service.",study,medium_term,"microservices;backend"
80,Learn about caching,"Understand caching strategies and tradeoffs.",study,medium_term,"caching;performance"
81,Improve performance awareness,"Notice and address slow code paths.",work,medium_term,"performance;engineering"
82,Practice writing design docs,"Document technical decisions clearly.",work,medium_term,"design-docs;communication"
83,Learn about observability tools,"Try tools for logs, metrics, and traces.",study,medium_term,"observability;monitoring"
84,Create a weekly learning slot,"Reserve time each week for learning.",personal,short_term,"learning;routine"
85,Improve collaboration tools usage,"Use project tools more effectively.",work,short_term,"tools;collaboration"
86,Learn about RAG evaluation,"Understand metrics for retrieval and answers.",study,medium_term,"rag;evaluation"
87,Practice building prompts,"Iterate on prompts for different tasks.",study,short_term,"prompts;llm"
88,Reduce cognitive overload,"Simplify workflows and limit WIP.",personal,medium_term,"cognitive-load;workflow"
89,Improve documentation habits,"Document as you go, not at the end.",work,short_term,"documentation;habit"
90,Create a personal roadmap,"Align goals across work and life.",personal,long_term,"roadmap;planning"
91,Learn about task prioritization,"Use frameworks like Eisenhower matrix.",personal,short_term,"prioritization;planning"
92,Practice time blocking,"Schedule focused blocks for key tasks.",personal,short_term,"time-blocking;focus"
93,Improve backlog review cadence,"Review backlog at regular intervals.",work,short_term,"backlog;cadence"
94,Learn about Kanban,"Understand flow-based work management.",study,short_term,"kanban;workflow"
95,Experiment with Pomodoro,"Use short focus intervals with breaks.",personal,short_term,"pomodoro;focus"
96,Build a simple habit system,"Track and reinforce key habits.",personal,medium_term,"habits;system"
97,Improve resilience to setbacks,"Develop strategies to recover from failures.",personal,long_term,"resilience;mindset"
98,Practice saying no,"Protect focus by declining misaligned work.",personal,short_term,"boundaries;focus"
99,Learn about goal setting,"Use SMART or similar frameworks.",personal,short_term,"goals;frameworks"
100,Align goals with values,"Ensure goals reflect personal values.",personal,long_term,"values;alignment"
