id,task_id,framework_id,reasoning,tags
1,1,4,"Time Blocking structures the project report into focused calendar blocks.","planning;time"
78,39,42,"Micro-Goals break piano practice into small exercises.","goals;music"
79,40,29,"Mind Mapping helps explore drawing concepts.","creative;art"
80,40,42,"Micro-Goals break drawing practice into small tasks.","goals;creative"
81,41,3,"GTD organizes wardrobe sorting tasks.","organization;home"
82,41,38,"Task Decomposition breaks wardrobe sorting into categories.","planning;home"
83,42,10,"2-Minute Rule helps quickly start ironing small batches.","quick;home"
84,42,23,"Task Batching groups ironing tasks together.","efficiency;home"
85,43,11,"Kanban visualizes email inbox cleanup.","workflow;email"
86,43,28,"Not-To-Do List removes low-value email habits.","focus;email"
87,44,21,"Monthly Review ensures backups are done regularly.","planning;home"
88,44,54,"Daily Checklist ensures backup steps are completed.","checklist;home"
89,45,6,"OKRs define clear weekly goal outcomes.","goals;planning"
90,45,20,"Weekly Review supports adjusting weekly goals.","reflection;planning"
91,46,6,"OKRs define monthly goal outcomes.","goals;planning"
92,46,21,"Monthly Review tracks progress on monthly goals.","reflection;planning"
93,47,25,"Focus Blocks support longer strength training sessions.","fitness;focus"
94,47,17,"Energy-Based Scheduling matches strength training to high-energy times.","energy;fitness"
95,48,25,"Focus Blocks support structured running sessions.","fitness;focus"
96,48,41,"Work Sprints help with interval-style running.","focus;fitness"
97,49,8,"Spaced Repetition reinforces lecture concepts.","study;memory"
98,49,32,"Daily Standup-style self-check keeps lecture review on track.","routine;study"
99,50,39,"Backwards Planning structures lecture summaries from key points.","planning;study"
100,50,40,"Daily Scorecard tracks summary-writing productivity.","tracking;study"
101,51,23,"Task Batching groups window cleaning tasks.","efficiency;home"
102,51,38,"Task Decomposition breaks window cleaning into panes/rooms.","planning;home"
103,52,3,"GTD organizes cabinet organization tasks.","organization;home"
104,52,11,"Kanban visualizes progress on organizing cabinets.","workflow;home"
105,53,22,"Time Audit reveals how time is spent on budgeting.","time;finance"
106,53,30,"Time Budgeting allocates time for budget review.","planning;finance"
107,54,40,"Daily Scorecard tracks expense tracking consistency.","tracking;finance"
108,54,54,"Daily Checklist ensures all expense categories are updated.","checklist;finance"
109,55,39,"Backwards Planning structures tax document preparation.","planning;finance"
110,55,38,"Task Decomposition breaks tax tasks into smaller steps.","planning;finance"
111,56,34,"Habit Stacking attaches breathing practice to existing routines.","habits;health"
112,56,46,"Daily Rituals support consistent breathing exercises.","routine;personal"
113,57,58,"Task Journaling supports daily reflection.","reflection;personal"
114,57,14,"Bullet Journaling organizes daily thoughts and logs.","planning;personal"
115,58,3,"GTD organizes photo organization tasks.","organization;home"
116,58,11,"Kanban visualizes progress on organizing photos.","workflow;home"
117,59,23,"Task Batching groups car interior cleaning tasks.","efficiency;home"
118,59,38,"Task Decomposition breaks car cleaning into sections.","planning;home"
119,60,23,"Task Batching groups exterior washing steps.","efficiency;home"
120,60,10,"2-Minute Rule helps start small washing actions quickly.","quick;home"
